歌曲名,专辑名,艺人名,歌曲译名
A Narnia Lullaby,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (Original Soundtrack)",Harry Gregson-Williams,
Lucy,The Chronicles of Narnia: Prince Caspian (Original Soundtrack),Harry Gregson-Williams,
The Call,The Chronicles of Narnia: Prince Caspian (Original Soundtrack),Harry Gregson-Williams,
A Woodland Night,Moonrise ,David Friedman,
The Peak,The Peak,Dirty Chocolate,
CMF,Hymn For The Greatest Generation,Caspian,
Summercrush,Life in a Coma,Ask For Joy,
Blue Window,Duñe x Crayon,Duñe;Crayon,
关于青春,Vast & Hazy 同名EP,Vast & Hazy,
L'aube sur la mer de Bismarck,Les Rêves Orientaux,Ozymandias,
Broken,Jake Bugg,Jake Bugg,
four,Do These Lines Breathe,Ours to Alibi,
李斯特:钟,Portrait,李云迪,Liszt:La Campanella
蘇州夜曲(李香蘭/渡辺はまこ)  ,ニカセトラ,二階堂和美,
Dragon,Dragon,PYRMDPLAZA,
You Lost the Starlight in Your Eyes,Chasing After Shadows Living with the Ghosts,Hammock,
Oimiakon,Interiors,A Red Season Shade,
Daytrip ,The Technicolour Sleep  ,The American Dollar,
light,Weekend,Rist,
Wild,Impression,Dexter Britain,
阴天,含情莫莫 全精选辑,莫文蔚,
Wait,"Hurry Up, We're Dreaming",M83,
Say You Love Me,Tough Love,Jessie Ware,
I Wanna Be Your Dog,A Million in Prizes: The Anthology,The Stooges,
I Wanna Be Your Dog,The Stooges,The Stooges,
Reign,Home Economics,Prinzhorn Dance School,
時の旅人,Eternal Songs,上妻宏光,
Champagne Kisses,Tough Love,Jessie Ware,
"Father Stretch My Hands, Pt. 1",The Life of Pablo,Kanye West;Kid Cudi,
.2 O' Clock in the Moanin,2 O' Clock in the Moanin,Zacari,
With Me,With Me,SMLE;Hype Turner,
Burnt Love Letters [Feat. Zefora],The Midnight Sessions,Dave Greening,
All Is White,La Marche de l'Empereur,Émilie Simon,
I Wanna Be Your Dog,Émilie Simon,Émilie Simon,
Dearest (ストリングスVer．),犬夜叉 音楽撰集,浜崎あゆみ,
Femme Fatale,Émilie Simon,Émilie Simon;Tim Keegan,
Opium,Vegetal,Émilie Simon,
To the Dancers in the Rain,Émilie Simon,Émilie Simon,
Chanson de Toile,Émilie Simon,Émilie Simon,
Tout le monde,Quelqu'un m'a dit,Carla Bruni,Everyone
Quelqu'un m'a dit,Quelqu'un m'a dit,Carla Bruni,Someone Told Me
You Belong to Me,Comme si de rien n'était,Carla Bruni,
Elegy for Tramway,Skies,The Waves,
純真な心（piano solo ver.）,NHK大河ドラマ「八重の桜」オリジナル・サウンドトラック I,中島ノブユキ,
"Sweet Dreams, Helena",Imagination's Light,Kevin Kern,
Without You,Without You,Caius,
Forgotten Valentines,Fragile,Endless Melancholy,
查理,查理,谢震廷,
permanent yesterday,Little Grace,吉田靖,
Echoes of the Unmoved Mover ,MAPS  ,Tunturia,
Blank Space,Blank Space,Taylor Swift,
Bad Blood,Bad Blood,Taylor Swift;Kendrick Lamar,
盛夏的果实,含情莫莫 全精选辑,莫文蔚,
北极光,恋上莫文蔚,莫文蔚,
untitled for piano,Songs By The Tumbled Sea,The Tumbled Sea,
Give It Up,No Air,Nude,
四つ葉のクローバー,ハチミツとクローバー オリジナルサウンドトラック,林有三,
夢のつづき,ワインレッドの心,玉置浩二,
Friend,ワインレッドの心,玉置浩二,
Between,elephant DEE 首张EP,徐熙娣,
Modern Drift,Magic Chairs,Efterklang,
Quartz,88,Kashiwa Daisuke,
以一种假装放荡的矜持 与你告别,Over the Sea / Under the Water,Cicada,Farewell (in a pretentious way)
Wasted Days,Swallow Up the Moon,Phoenix And The Turtle,
给路卡的摇篮曲,向左走·向右走音乐专辑,Standfast,
春を知らせるもの~続 夏目友人帳のテーマ,続 夏目友人帳 音楽集 いとうるわしきもの,吉森信,
三月のうた,武満徹ソングブック,武満徹,
YOUTH (Acoustic),Blue Neighbourhood (The Remixes),Troye Sivan,
RADICAL DREAMERS～盗めない宝石～,Chrono Cross (Original Soundtrack),光田康典,
Portland,More Life,Travis Scott;Quavo;Drake,
Matsuri,Bamboo Tapestry,京田誠一,
Yellow Dust,Yellow Dust,Mïnk,
Waterfall / Cucurrucucu Paloma,春光乍泄 电影原声大碟,Caetano Veloso,
Sophia,Lost Trails,Butterfly Explosion,
时の流れに身をまかせ,邓丽君东洋金曲赏3,邓丽君,我只在乎你
Julien Et Barbara (from Vivement dimanche!),2046 (Bande Originale du Film),Georges Delerue,
主题曲,姨妈的后现代生活,久石譲,Main Title
夏の忘れ物,雅II,渡辺雅二,Lingering Summer
Sketchy Boys In The Back Of The Bus,Sketchy,Star Slinger,
Les rêves orientaux,Les Rêves Orientaux,Ozymandias,
Hotline Bling (Remix),Hotline Bling (Remix),Sad Money;Kehlani;Charlie Puth,
pieces of us were left on the tracks...,A Summer Beneath the Trees,Library Tapes,
Nevada (Original Mix),Nevada,Vicetone;Cozi Zuehlsdorff,
Far Away From Cities,Selected Works 1​.​1,Alexander DeLarge,
Raein,Found Songs,Ólafur Arnalds,
The Father's Heart,Movements of the Heart,Tony Anderson,
Fresh Air,A Romantic Dream,Blurry Lights,
Сейчас Любить,Лес в Корабле,82-75,
Symphony of Raindrops,Woodwork,So I'm An Islander,
Get To France,Earth Division,Mogwai,
Stars Above You,An Attempt To Fly,Ben Woods,
Sobre a brevidade da vida,Catarse,Andrei Machado,
Patience,Beautiful World,Take That,
Love Burns,B.R.M.C.,Black Rebel Motorcycle Club,
Black Wave,Rarities/B-Sides,The Raveonettes,
Ballad du Paris,Midnight In Paris (Music from the Motion Picture),Soundtrack,
Something,Something,CYN,
Moon,Tiny Musical,小濑村晶,
光,Twilight,Haruka Nakamura;April Lee,
Feel Good,Above Water,Gibbz;Russ Liquid,
Everlasting Truth,Everlasting Truth,Re:plus,
White Bird,It's a Beautiful Day,It's a Beautiful Day,
Forgiveness,In Dream,Editors,
The Four Horsemen,666,Aphrodite's Child,
深深深窗,香气,黄永灿,
Albatross,Albatross,Dom Mino',
Flamme Bleue & Last Tears,"Divine Spark, Volume 1",Phantasma,
Twentynine Palms,Matador,Arms and Sleepers,
Moksha,The Four Trees,Caspian,
Take Me Somewhere Nice,Rock Action,Mogwai,
Genius and the Thieves,An Accidental Memory in the Case of Death,Eluvium,
证据,第一张精选,杨乃文,
秋天的海,恋恋真言,苏慧伦,The Autumn Sea
来不及,我从来不是幽默的女生,陈珊妮,
心动,心动 电影原声音乐,林晓培,
Countryside,The World Is Real Except Yourself,Lowspirit,
My Heart Is Open,Ⅴ,Maroon 5;Gwen Stefani,
Me & The Rhythm,Revival,Selena Gomez,
Chalk Stars,Signs And Wonders,Animal Kingdom,
Groovin',Love Anthem,黒沢薫,
Freestyle 4,The Life of Pablo,Kanye West;Desiigner,
Wolves,The Life of Pablo,Kanye West;Vic Mensa;Sia,
Diamonds in the Sky,Ghost Is Not Real,Husky Rescue,
Gravity,Gravity (Original Motion Picture Soundtrack),Steven Price,
Elizabeth,Shining Silver Skies,Ashram,
Experience,In a Time Lapse,Ludovico Einaudi,
伤痕,回忆莲莲,林忆莲,
二泉映月,华彦钧阿炳 纪念专辑,阿炳,原作选绎部分
Speechless (Gesaffelstein Remix) ,Speechless,Carl Craig;La Scalars,
Waltz No. 2 from Jazz Suite No.2,The Luzhin Defence (Original Film Soundtrack),Alexandre Desplat,
Spring to Kingdom Come,Morning Star,Flunk,
Yumeji's Theme,花样年华 电影原声大碟,梅林茂,
不睡,AMIT2,张惠妹,Insomnia
light & dark (lee coombs club remix),Light & Dark Remixed,Lee Coombs,
钟无艳,3月8日,谢安琪,
喜帖街,Binary,谢安琪,囍帖街
三个人的晚餐,我想要一个小孩,黄韵玲,
美好岁月,美好岁月,黄韵玲,
让她降落,让她降落,何璐,
秘境,風来のシレン5 Limited Sound Track,松尾早人,
I Can't Wait,Production,Mirwais,
双生光,双生光,祁紫檀,
Haunted,D.T.S.N.T.,SEVDALIZA;Stwo,
At the First Meeting,Music for Dorothy,American Green,
lullaby for rainsongs,Little Grace,吉田靖,
飞鸟和她,飞鸟和她,圈住那个9,
十字街头,如果·爱 电影原声大碟,周迅;金城武,
外面,如果·爱 电影原声大碟,周迅,
Be The One (SRNO Remix),Be The One (SRNO Remix),SRNO;Dua Lipa,
LSD,HEAVN,Jamila Woods;Chance the Rapper,
Noh Life,Noh Life,Ian Ewing,
april.#19,Re:,Kashiwa Daisuke,
Promiscuous Interlude,Loose,Nelly Furtado;Timbaland,
Promiscuous (Live At the Orange Lounge),Loose,Nelly Furtado;Saukrates,
无邪,大明宫词 影视音乐原声大碟,林海,
接下来如何,熟悉的荒涼,Hello Nico,
一万小时,一万小时,宇宙人,"10,000 Hours"
一辈子的孤单,涩女郎 电视原声带,刘若英,
碧罗雪山 (碧罗雪山),若水,林强,
离别曲,如果有一件事是重要的,田馥甄;陈珊妮,
Crystalline,In Never Out,pg.lost,
Taijin Kyofusho,Golevka,The Evpatoria Report,
拘留所雷警官,记忆大师 电影原声带,梁翘柏,
暴力车祸,记忆大师 电影原声带,梁翘柏,
记忆取回,记忆大师 电影原声带,梁翘柏,
记忆移除,记忆大师 电影原声带,梁翘柏,
好了,嘿,黄淑惠,
Anything You Synthesize ,A Memory Stream,The American Dollar,
Over U,Trapped IRL,Hitmane,
Clear Water,Strange And Secret Things,Robert Haigh,
A Scenery Like Parting,imanity Remix,Imanity,
影子,天空,王菲,
Infection (Live),2016超级女声 总决赛第十场,圈住那个9,
Attila,Hello World,王利夫,
ain't nobody like you,ain't nobody like you,josh pan;YUNG BAE,
Rainbow,ARIA~ピアノ・コレクション~スタジオーネ-季節,窪田ミナ,
The Salvation,The Salvation,ceth,
Window,In a Safe Place,The Album Leaf,
ノエルのテーマ ～最後の旅～,FINAL FANTASY XIII-2 オリジナル・サウンドトラック,浜渦正志,
Caccini + Redemption + Ave Maria,Era Classics,Era,
クロイウタ,DRAG-ON DRAGOON 3 オリジナル・サウンドトラック,MONACA,日本国外向け製品収録版
WILD (Young Bombs Remix),Blue Neighbourhood (The Remixes),Alessia Cara;Young Bombs;Troye Sivan,
It's About the Rose in the Vase On the Table ,It's About the Rose,Karen Marie Garrett,就像桌上花瓶里的玫瑰
23[Demo Version],Futures,Jimmy Eat World,
Travel Around Stars (vocal ver.),9 Songs,Kashiwa Daisuke,
月海,EAST WEST,Forest306,
Never Say Never  ,The Fray,The Fray,
Play 我呸 (Alesso Remix Version),Play 我呸 (Alesso Remix Version),蔡依林;Alesso,
Ocean (Special Edition),Ocean (Special Edition),阿克江Akin,
C.C.S Logbook,Golevka,The Evpatoria Report,
blast off (rmx),blast off (rmx),Maurice Moore,
Thief (Gill Chang Remix),Thief (Gill Chang Remix),Gill Chang;Ookay,
恋ってもどかしい,TVアニメ ゼロの使い魔~三美姫の輪舞~オリジナルサウンドトラック+ルイズと才人のトーク,光宗信吉,
Letter Of No Return,LOVE LETTER,麗美,
Fall,Night Song,Ketil Bjørnstad;Svante Henryson,
a world of dazzle,"Light In August, Later",Aus,
Run My Mouth,The Rhumb Line,Ra Ra Riot,
Hold Tight,动情祭,西楼,
Dance Floor,正正,邱比,舞池
I Like You,Lead Balloon,Rosi Golan,
stay,stay,break,
Drama,Gllia,kazumasa hashimoto,
おこのみで (Live),賣笑エクスタシー,椎名林檎,
セレナイト,プライマリー,ルルティア,
Car Crash,Apricot Rail,Apricot Rail,
Unspoken...,North Sycamore,Elizabeth Naccarato,
大奥メインテーマ (バラードVer.),映画 大奥 オリジナル・サウンドトラック,村松崇継,
平清盛テーマ曲,NHK大河ドラマ「平清盛」オリジナル・サウンドトラック,吉松隆,
4U/Lately,BeFOR Our Time,Jay Prince,
Things Gonna Be Okay,Things Gonna Be Okay,Caius,
DX7,DX7,Dabeull;Holybrune,
Get Freaky,Free Limitation,Mogul;Sugar,
w/ u,w/ u,BR/\VE,
森,遠TONE音,遠TONE音,Forest
Piano Concerto No.5,告白 オリジナル・サウンドトラック,渋谷慶一郎,
灯光,查理,谢震廷,
Saying Goodnight,Another Quiet Winter,NCThompson,
ave maria,Vinculum,Chouchou,
No One (DUNN & Kayge Calypso Remix),No One (DUNN & Kayge Calypso Remix),Kayge Calypso;Mothica,
しるし (Strings Orchestra Version),日本テレビ系水曜ドラマ「14才の母 愛するために 生まれてきた」O.S.T,沢田完,
Wisdom Tooth,Music for Dorothy,American Green,
túrána hott kurdís,Hasta La Otra México!,Hasta La Otra México!,
Bolerish,Playing the Orchestra 2013,坂本龍一,20130509_tokyo_suntory_hall
宁月,二胡,贾鹏芳,Silent Moon
Spirit of the Wild,Age of Wonders,BrunuhVille,
Xian (Remaster),Origins,Antti Martikainen,
Awaking Hearts,SIGMA,Epic Soul Factory,
The Way of Honour,The Way of Honour,Marcus Warner,
Trying Is the 1st Step Towards Failure,The Wink and The Gun,L'elan Vital,
Cut All Trees,Laideronnette,Matryoshka,
宝贝,宝贝,安溥,In Life
我们都是好孩子,我们都是好孩子,王筝,
秋姉妹のなく頃に,秋満開の風に舞う,さーくるばんばんしー,
めぐる夏の便り,夏目友人帳 音楽集 おとのけの捧げもの,吉森信,
Open Your Heart,すいか,金子隆博,
亲爱的你怎么不在我身边,18岁的约定 电视原声带,江美琪,
Watching As She Reels,Hopes And Past Desires,Rafael Anton Irisarri,
そして今日も紅魔館の扉は開く,東方アイリッシュ,Floating Cloud,
rob call,CASA,nica,
古の森,Wheel of Green,Whisper Records,
哭  ,夢中夢,夢中夢,
我要你,我要你,老狼;任素汐,
Bullets Are Such Small Things,The Wink and The Gun,L'elan Vital,
High,Karate / High,Porsches,
STARGAZER ~星の扉,STARGAZER~星の扉,根岸さとり,
Calling,Calling,織田かおり,
我要你,我要你,任素汐,
Dark Paradise,Born to Die,Lana Del Rey,
Off To The Races,Born to Die,Lana Del Rey,
Carmen,Born to Die,Lana Del Rey,
Without You,Born to Die,Lana Del Rey,Special Edition Bonus
Renovation.,Spectacle.,DAISHI DANCE;吉田兄弟;井上鑑,
ふたりの約束,ドラマ「白夜行」オリジナル・サウンドトラック,河野伸,
泡になった,THE LIMELIGHT,monolog;市川愛,
淡秋,7又3分之4,优雅逆转,
Evergreen,"Joy - Schole Compilation, Vol. 3",小濑村晶;[.que];lasah,
艺术家脾气,艺术家脾气,PNC;9m88;Leo王,Artists' Mood
いつも何度でも,Prime Selection,宗次郎,
乱红,乱红 (箫和钢琴),陈悦,笛和钢琴
Estrondo,Milano Fashion Vol. 6,Various Artists,
颈椎病植入DNA1999,人间指南,Fcyco,
For,For,小濑村晶,
Hometown Glory,19,Adele,
悲伤的嗜好,初,张信哲,Addicted to Heartbreak
Wildthing's Arm,Synesthesia,Schroeder-Headz,
Berceau,ELEMENTS,Tomoya Naka,
toki,home,hideyuki hashimoto,
You,What Happened in Yesterday,tokyo blue weeps,
After All (Else Remix),After All (Else Remix),Charlotte Day Wilson;Else,
Don't Be Shy,Don't Be Shy,Sensi Sye,
桜廻廊,桜廻廊,a_hisa,
gleam.,ame_to_wonder.ep,Bed.,
Lust for Life,Lust For Life,Lana Del Rey;The Weeknd,欲望人生
風邪の都,風の都 ,KOBUDO-古武道-,
遊びをせんとや,NHK大河ドラマ「平清盛」オリジナル・サウンドトラック,吉松隆,
The Distance Speaks,Finding Our Way Home,Daycast,
in cherrycloud,東方二胡　蝶譜 「死せる胡蝶、生ける聖僧を走らす」,餃子屋本舗,
Afterglow,Afterglow,Flores,
Invite Me (Sonder Remix),Victoria,Sonder,
天际大厦 (zitan Remix),新世纪平衡,祁紫檀,Skyline building（zitan remix）
Mozart: Le nozze di Figaro - Porgi amor,二十三岁的咏叹调,李黎,莫扎特: 费加罗的婚礼 - 求爱神给我安慰
青城山下白素贞,春生,好妹妹,
双生光 (Bigperry Remix),双生光,祁紫檀,
雨后花园,雨后花园,祁紫檀,Wet garden
海上花,海上花 电影原声带,半野喜弘,Flower Of Shanghai
吉光片羽#1,海上花 电影原声带,半野喜弘,A Slice Of Life #1
来历,海上花 电影原声带,半野喜弘,History～End Credit
The Cure,The Cure,Lady Gaga,
Bad Romance (Radio Edit),I Am Woman,Lady Gaga,
Speechless,The Fame Monster,Lady Gaga,
This Is Not Where We Are Supposed To Be,Anything That Comes To Mind,Epigram,
九頭身日奈NINE HEAD HINANO,九头身日奈,9m88,九头身日奈
情歌,NHK大河ドラマ「平清盛」オリジナル・サウンドトラック,吉松隆,
浮遊魚の舞,川底幻燈,Azell,
The Last Emperor,Playing the Orchestra 2013,坂本龍一,20130510_tokyo_metropolitan_theatre
Noctambulist,Laideronnette,Matryoshka,
Evolution Is Not A Theory ,What The Blood Revealed,What The Blood Revealed,
Clocks Corridor,Weiβ Ritter,D.M.C,
Wonderful U,Ginadoll,AGA,
墙纸 (Live),Concert YY 黄伟文作品展,容祖儿,
归属,次等秘密,Vast & Hazy,Eleanor
挽歌,夏娃。上帝之死,饥饿艺术家,Dirge
你的烟薰到我没关系,孔雀眼,孔雀眼,
食人梦,次等秘密,Vast & Hazy,
传染,All About Shirley,关淑怡,
山水,Shirley's Era,关淑怡,
带我去跳舞,All About Shirley,关淑怡,
Something About You,Something About You,Yade Lauren;Chace,
Desafinado,Fino Bossa Nova,小野リサ,
Driving,Best Of Olivia,Olivia Ong,
summer's day [version 2],summer's day [version 2],jinsang,
Bout You,ACT ONE,Marian Hill,
時を止めた村,Prologue of 陽炎雪歌,APPLE project,
Endless Pain,ComicMarket79 Prize Disc,FELT,
Lithium Flower,SPACE BIO CHARGE,菅野よう子,
teacup ride　,Daydream Garden,tico moon,
simple ease,NHKアニメーション「心霊探偵八雲」オリジナルサウンドトラック,STEREO DIVE FOUNDATION,
Syrup,Syrup,Stwo,
妖艶なる絆の響き,テレビ東京系アニメーション「Simoun(シムーン)」オリジナルサウンドトラックI,佐橋俊彦,
夢幻抱擁,11eyes Original Sound Track & Arrange Sound Track,坂本昌一郎,
Get It Up,Get It Up,MIKOTEAU,
Oculus,Two & One,Luke Howard,
搁浅的人,搁浅的人,康士坦的变化球,Stranded People
Elegia(from Low-Life),Retro,New Order,
Faded,BRIT Awards 2017,Alan Walker,
Goodbye『さようなら』,Goodbye『さようなら』,Conscious Thoughts,
夢のDancing (Album Ver.),憧れ N I G H T S,Jelly BonBon,
Sunset Lover,Sunset Lover,Petit Biscuit,
walk with me (swindail remix),walk with me (swindail remix),swindail;Cosmo's Midnight,
808Luv,808Luv,KINGBNJMN;OSHI,
Hit Refresh,"Summer Never Ends, Vol. 2",Jack​LNDN,
Viva la Vida,Viva la Vida or Death and All His Friends,Coldplay,生命万岁
Adventure of a Lifetime,Now That's What I Call Music! 57,Coldplay,
幸せの結晶,生まれてきてくれてありがとう,M.Graveyard,
Do You Go Up,Do You Go Up,KHAI,
Colourblind,Gold Rush,salute;ABRA,
悪魔和的誓い,ギルティ 悪魔と契約した女 オリジナル・サウンドトラック,住友紀人,
above the flood,A Summer Beneath the Trees,Library Tapes,
搜神记 (Live),Joey Yung & Hacken Lee Concert 2015,容祖儿,
Sacred Play Secret Place,Laideronnette,Matryoshka,
You Are Not What You Think You Are,Paper Canyon,Codes in the Clouds,
流れ者の唄,METAL SAGA ～砂塵の鎖～ Original Sound Track,門倉聡,
Not Coming Down,Altitude & Oxygen,Cleopold,
(It's Not a Crime) It's Just What We Do,(It'S Not a Crime) It's Just What We Do,窦靖童,
秦皇岛,万能青年旅店 同名专辑,万能青年旅店,
Happy Days,Happy Days,Brooke Candy,
Main Title Theme (The Last Emperor),The Last Emperor (Original Motion Picture Soundtrack),David Byrne,
The Last Emperor (Theme),The Last Emperor (Original Motion Picture Soundtrack),坂本龍一,
Where Is Armo?,The Last Emperor (Original Motion Picture Soundtrack),坂本龍一,
Open the Door,The Last Emperor (Original Motion Picture Soundtrack),坂本龍一,
One night （Instrumental Version）,銀河鉄道の夜 サウンドトラック,加賀谷玲,
So Much to Me,Time for a Change,FKJ,
Could Be (Koala X CATMAGIC Remix),Could Be (Koala X CATMAGIC Remix),Jenny Mayhem;Koala;CATMAGIC,
星遊び,平清盛 オリジナル・サウンドトラック 其の二,吉松隆,
原谅,张玉华 同名专辑,张玉华,
つぎの夜へ,つぎの夜へ,ゆらゆら帝国,
Bloodshot (SRNO Remix),Bloodshot (SRNO Remix),SRNO;Lexy Panterra,
スパークル (movie ver.),君の名は。,RADWIMPS,火花
騎士王の誇り,Fate/stay night (A.OST),川井憲次,
Trophies (Brasstracks Cover),Trophies (Brasstracks Cover),Drake;Brasstracks,
溢愛,喰霊-零- 5 スペシャルCD：サウンドトラック＆ネットラジオ5,上松範康,
Mooncatch,Mooncatch,Lontalius,
9 Crimes,9,Damien Rice;Lisa Hannigan,
Landing Guy,鱼干铺里,Kidult.;刘昊霖,
breeze,small sketch,mitsuyoshi matsuda,
West,West,River Tiber;Daniel Caesar,
Do You Go Up (Kidswaste Remix),Do You Go Up (Remixes),KHAI;Kidswaste,
魔神の笛のテーマ <オリジナル・ヴァージョン>,レイトン教授と魔神の笛 オリジナル・サウンドトラック,西浦智仁,
Foggy Windows,Foggy Windows,Zacari;NGHTMRE;J-Louis,
Heartburn (Jaramix),Heartburn (Jaramix),Wafia,
SpottieOttie (Jamie Blake Remix),SpottieOttie (Jamie Blake Remix),Jamie Blake,
The Frog Princess,The Stories Linger in My Mind,Organic Stereo,
京都慕情,恋文,おおたか静流,
Curious (Anton Borin Edition),Curious (Anton Borin Edition),Anton Borin;Kilo Kish,
八重の桜 メインテーマ,NHK大河ドラマ「八重の桜」オリジナル・サウンドトラック I,坂本龍一,
Out of Sight,Out of Sight,Les Loups,
97202,Songs By The Tumbled Sea,The Tumbled Sea,
Fragile,Pillow Talk,Wantigga;Mar,
Ave Maria,The VOICE,KOKIA,
Fresh Out The Shower,Grooves Vol. 1,Penthouse Penthouse,
in peace,Noir Original Soundtrack II,梶浦由記,
風林火山＜生きる＞,NHK大河ドラマ オリジナル・サウンドトラック「風林火山」,千住明,
egg of dreams,RahXephon O.S.T.2,橋本まゆみ;橋本一子,
执着,20世纪中华歌坛名人百集珍藏版,田震,
野花,20世纪中华歌坛名人百集珍藏版,田震,
孤独频盗,水底乐园,陈洁仪,
Good Morning Sick World,Posthuman Decadence,Art Of Empathy,
The Meek Shall Inherit the Earth,Vondel's Lucifer - First Movement,H.E.R.R.,
最好的... ... (Live),Concert YY 黄伟文作品展,王菀之,
Tears of a Million Stars,Music For The Little Prince,Peter Lai,
如果再次奔向你,再次奔向你,王思远,
里の秋,下北むつの子守歌,mammy Sino,
Violet Hues,Spectrum,Shook,
Second Sorrow,RahXephon O.S.T.3,橋本一子,
When I Fell For You (w/ Groovy Godzilla),"That Special, Funky Feeling",AEON MEMBER;Groovy Godzilla,
Weather Storm,Piano Works,Craig Armstrong,
カスカナヒカリ,sola オリジナルサウンドトラック,藤間仁,
Obsessions,Singles,Suede,
Perfect Day,The Best of Lou Reed & The Velvet Underground,Lou Reed,
Kids,Oracular Spectacular,MGMT,
Glory Box,Dummy,Portishead,
Twenty Years,Once More With Feeling: Singles 1996-2004,Placebo,
Agoraphobia,Microcastle,Deerhunter,
Maybe Tomorrow,Decade in the Sun: Best of Stereophonics,Stereophonics,
Bitter Sweet Symphony,Urban Hymns,The Verve,
Teardrop,Mezzanine,Elizabeth Fraser;Massive Attack,sampled "Sometimes I Cry" by Les McCann
Where is my Mind?,Death to the Pixies,Pixies,
Fool's Day,Fool's Day,Blur,
敷衍,敷衍,王菲,
InterMezzo From Cavalleria Rusticana,The London Violin Sound,London Philharmonic Orchestra,间奏曲
守护天使,敷衍,王菲,
斎唄-いわいうた- full version,倭人異聞録～あさき、ゆめみし～ Original Sound Track,瀧沢一留,
I'm The One,天使の恋 オリジナル・サウンドトラック,渡辺善太郎,
changes,Jakarta Dubplate # 1,IAMNOBODI,
勿忘草,Lamento O.S.T. -The World Devoid Of Emotion-,ZIZZ STUDIO,
Waiting for the End,Weightless Thoughts,Servants Of Silence,
"Earth Feet, Lifted - Part 1 (Circadian Eyes Remix)",Remixes,Umber,
忘记他,声光回忆 王家卫电影原声精选,关淑怡,
三千年前,Shirley's Era,关淑怡;李香琴,
地尽头,Shirley's Era,关淑怡,
Love!,To Hebe,田馥甄,爱！
《你的名字》观后曲,电影《你的名字》观后曲,付垚,
亚麻色头发的少女,乐在其中,张乐,
Thanatos - If I Can't Be Yours -,Tokyo Express - Live In Concert,Rasmus Faber,
The South Wind,Song of the Irish Whistle,Joanie Madden,南来风
MOSCOW MULE ~優しさ~,バーテンダー　オリジナルサウンドトラック,大嶽香子,
悲しみは地下鉄で,クロなら結構です,モーモールルギャバン,
Still Waters,A New World,Maksim Mrvica,
Hallucinations,Sept. 5th,dvsn,
Handkerchiefs,The Light Divides,Winterpills,
Por Una Cabeza,テレビアニメ「空中ブランコ」オリジナルサウンドトラック,森英治,
大河悠久,春色彩華,TOGI+BAO,
独角戏,茹此精彩13首,许茹芸,
问,滚石香港黄金十年 陈淑桦精选,陈淑桦,
致青春,致我们终将逝去的青春 电影原声大碟,王菲,
梦醒了,知英情歌 那英精选,那英,
都是夜归人,都是夜归人,许美静,
棋子,情·菲·得意,王菲,
Big Jet Plane,Down The Way,Angus & Julia Stone,大喷射机
"Claude Debussy: Préludes (12) for piano, Book I, L. 117 - 8. La fille aux cheveux de lin",Debussy: Piano Works,Claudio Arrau,
"Claude Debussy: Préludes - Book 1, L. 117 - VIII. La fille aux cheveux de lin",Ultimate Classical Piano: The Essential Masterpieces,Pascal Rogé,
ドビュッシー＝ハルトマン：亜麻色の髪の乙女 (亚麻色头发的少女),Zephyr －そよ風 (Zephyr －清风),大森潤子,
三寸天堂,步步惊心 电视剧原声音乐大碟,严艺丹,
天堂鸟,W,郑嘉嘉,
Changing Faces,Nausea,Craft Spells,
沉静的疯狂,Wonderland,黄玠玮,Good Time
Tummy,Ｘと○と罪と,RADWIMPS,
絵葉書みたいな街の午後,air's relic,yutaka hirasaka,
惨劇の記憶,テレビアニメーション「これはゾンビですか?」めっちゃサントラ,柿島伸次,
Charlotte,Bavarian Fruit Bread,Hope Sandoval & The Warm Inventions,
flipper,glitter,Pasteboard,
Good Morning Hypocrite,Electric President,Electric President,
雨の予感,「いま、会いにゆきます」オリジナル・サウンドトラック,松谷卓,
I'm a Firefighter,I,Cigarettes After Sex,
「亜麻色の髪の乙女」,情熱大陸~葉加瀬太郎 SELECTION~,葉加瀬太郎,
I'm Not The Only One (Nehzuil Remix),I'm Not The Only One (Nehzuil Remix),Sam Smith;Nehzuil,
森のテーマ ~ 富良野の森に抱かれて,優しい時間,渡辺俊幸,
Seen and Never Heard (Nadia Rose & Ashnikko Remix),Seen and Never Heard (Remixes),Etta Bond;Nadia Rose,
Sakura,Luv Songs,Che'Nelle,
SAKURA,SAKURA,Ailee,
SAKURA,超いきものばかり,いきものがかり,
Helium,Fifty Shades Darker (Original Motion Picture Soundtrack),Sia,
Believer,Evolve,Imagine Dragons,信徒
Christiansands,Pre-Millennium Tension,Tricky,
Electric Counterpoint: III. Fast,"Different Trains, Electric Counterpoint",Steve Reich,
Moonlight Miracles,Moonlight Miracles,Ceruleancerise,
Special Death,Advisory Committee,Mirah,
怀竹,暮良文王,暮良文王,
I Should Be Dreaming,I Should Be Dreaming,Zacari;Josh J.,
Hurricane,This Is War,Brandon Flowers;Kanye West;30 Seconds to Mars,
American Boy,2009 Grammy Nominees,Various Artists,
うみと魔法とぼくらの日々,ハチミツとクローバー オリジナル・サウンドトラック,菅野よう子,
Hammers,Spaces,Nils Frahm,
Says,Spaces,Nils Frahm,
No Pressure (Telescope Thieves Remix),No Pressure (Telescope Thieves Remix),Telescope Thieves,
Sigh,"Regret, Love, Guilt, Dreams",The Bilinda Butchers,
Uma breve história do tempo,Lacuna,Andrei Machado,
L003,L：003,声子虫,
